sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
02/04/2012 00:00:00;640.427;0.000
02/04/2012 00:05:00;640.427;0.000
02/04/2012 00:10:00;640.427;0.000
02/04/2012 00:15:00;640.427;0.000
02/04/2012 00:20:00;640.427;0.000
02/04/2012 00:25:00;640.427;0.000
02/04/2012 00:30:00;640.427;0.000
02/04/2012 00:35:00;640.427;0.000
02/04/2012 00:40:00;640.427;0.000
02/04/2012 00:45:00;640.427;0.000
02/04/2012 00:50:00;640.427;0.000
02/04/2012 00:55:00;640.427;0.000
02/04/2012 01:00:00;640.427;0.000
02/04/2012 01:05:00;640.427;0.000
02/04/2012 01:10:00;640.427;0.000
02/04/2012 01:15:00;640.427;0.000
02/04/2012 01:20:00;640.427;0.000
02/04/2012 01:25:00;640.427;0.000
02/04/2012 01:30:00;640.427;0.000
02/04/2012 01:35:00;640.427;0.000
02/04/2012 01:40:00;640.427;0.000
02/04/2012 01:45:00;640.427;0.000
02/04/2012 01:50:00;640.427;0.000
02/04/2012 01:55:00;640.427;0.000
02/04/2012 02:00:00;640.427;0.000
02/04/2012 02:05:00;640.427;0.000
02/04/2012 02:10:00;640.427;0.000
02/04/2012 02:15:00;640.427;0.000
02/04/2012 02:20:00;640.427;0.000
02/04/2012 02:25:00;640.427;0.000
02/04/2012 02:30:00;640.427;0.000
02/04/2012 02:35:00;640.427;0.000
02/04/2012 02:40:00;640.427;0.000
02/04/2012 02:45:00;640.427;0.000
02/04/2012 02:50:00;640.427;0.000
02/04/2012 02:55:00;640.427;0.000
02/04/2012 03:00:00;640.427;0.000
02/04/2012 03:05:00;640.427;0.000
02/04/2012 03:10:00;640.427;0.000
02/04/2012 03:15:00;640.427;0.000
02/04/2012 03:20:00;640.427;0.000
02/04/2012 03:25:00;640.427;0.000
02/04/2012 03:30:00;640.427;0.000
02/04/2012 03:35:00;640.427;0.000
02/04/2012 03:40:00;640.427;0.000
02/04/2012 03:45:00;640.427;0.000
02/04/2012 03:50:00;640.427;0.000
02/04/2012 03:55:00;640.427;0.000
02/04/2012 04:00:00;640.427;0.000
02/04/2012 04:05:00;640.427;0.000
02/04/2012 04:10:00;640.427;0.000
02/04/2012 04:15:00;640.427;0.000
02/04/2012 04:20:00;640.427;0.000
02/04/2012 04:25:00;640.427;0.000
02/04/2012 04:30:00;640.427;0.000
02/04/2012 04:35:00;640.427;0.000
02/04/2012 04:40:00;640.427;0.000
02/04/2012 04:45:00;640.427;0.000
02/04/2012 04:50:00;640.427;0.000
02/04/2012 04:55:00;640.427;0.000
02/04/2012 05:00:00;640.427;0.000
02/04/2012 05:05:00;640.427;0.000
02/04/2012 05:10:00;640.427;0.000
02/04/2012 05:15:00;640.427;0.000
02/04/2012 05:20:00;640.427;0.000
02/04/2012 05:25:00;640.427;0.000
02/04/2012 05:30:00;640.427;0.000
02/04/2012 05:35:00;640.427;0.000
02/04/2012 05:40:00;640.427;0.000
02/04/2012 05:45:00;640.427;0.000
02/04/2012 05:50:00;640.427;0.000
02/04/2012 05:55:00;640.427;0.000
02/04/2012 06:00:00;640.427;0.000
02/04/2012 06:05:00;640.427;0.000
02/04/2012 06:10:00;640.427;0.000
02/04/2012 06:15:00;640.427;0.000
02/04/2012 06:20:00;640.427;0.000
02/04/2012 06:25:00;640.427;0.000
02/04/2012 06:30:00;640.427;0.000
02/04/2012 06:35:00;640.427;0.000
02/04/2012 06:40:00;640.427;0.000
02/04/2012 06:45:00;640.427;0.000
02/04/2012 06:50:00;640.429;0.024
02/04/2012 06:55:00;640.432;0.036
02/04/2012 07:00:00;640.437;0.060
02/04/2012 07:05:00;640.443;0.072
02/04/2012 07:10:00;640.452;0.108
02/04/2012 07:15:00;640.462;0.120
02/04/2012 07:20:00;640.475;0.156
02/04/2012 07:25:00;640.492;0.204
02/04/2012 07:30:00;640.517;0.300
02/04/2012 07:35:00;640.541;0.288
02/04/2012 07:40:00;640.568;0.324
02/04/2012 07:45:00;640.598;0.360
02/04/2012 07:50:00;640.642;0.528
02/04/2012 07:55:00;640.677;0.420
02/04/2012 08:00:00;640.726;0.588
02/04/2012 08:05:00;640.759;0.396
02/04/2012 08:10:00;640.796;0.444
02/04/2012 08:15:00;640.815;0.228
02/04/2012 08:20:00;640.837;0.264
02/04/2012 08:25:00;640.896;0.708
02/04/2012 08:30:00;641.016;1.440
02/04/2012 08:35:00;641.156;1.680
02/04/2012 08:40:00;641.294;1.656
02/04/2012 08:45:00;641.418;1.488
02/04/2012 08:50:00;641.525;1.284
02/04/2012 08:55:00;641.638;1.356
02/04/2012 09:00:00;641.758;1.440
02/04/2012 09:05:00;641.903;1.740
02/04/2012 09:10:00;642.073;2.040
02/04/2012 09:15:00;642.247;2.088
02/04/2012 09:20:00;642.422;2.100
02/04/2012 09:25:00;642.602;2.160
02/04/2012 09:30:00;642.755;1.836
02/04/2012 09:35:00;642.925;2.040
02/04/2012 09:40:00;643.121;2.352
02/04/2012 09:45:00;643.319;2.376
02/04/2012 09:50:00;643.520;2.412
02/04/2012 09:55:00;643.720;2.400
02/04/2012 10:00:00;643.931;2.532
02/04/2012 10:05:00;644.147;2.592
02/04/2012 10:10:00;644.361;2.568
02/04/2012 10:15:00;644.574;2.556
02/04/2012 10:20:00;644.786;2.544
02/04/2012 10:25:00;644.998;2.544
02/04/2012 10:30:00;645.210;2.544
02/04/2012 10:35:00;645.427;2.604
02/04/2012 10:40:00;645.647;2.640
02/04/2012 10:45:00;645.865;2.616
02/04/2012 10:50:00;646.067;2.424
02/04/2012 10:55:00;646.286;2.628
02/04/2012 11:00:00;646.482;2.352
02/04/2012 11:05:00;646.704;2.664
02/04/2012 11:10:00;646.929;2.700
02/04/2012 11:15:00;647.136;2.484
02/04/2012 11:20:00;647.311;2.100
02/04/2012 11:25:00;647.521;2.520
02/04/2012 11:30:00;647.693;2.064
02/04/2012 11:35:00;647.929;2.832
02/04/2012 11:40:00;648.139;2.520
02/04/2012 11:45:00;648.308;2.028
02/04/2012 11:50:00;648.487;2.148
02/04/2012 11:55:00;648.588;1.212
02/04/2012 12:00:00;648.775;2.244
02/04/2012 12:05:00;648.967;2.304
02/04/2012 12:10:00;649.098;1.572
02/04/2012 12:15:00;649.209;1.332
02/04/2012 12:20:00;649.384;2.100
02/04/2012 12:25:00;649.620;2.832
02/04/2012 12:30:00;649.859;2.868
02/04/2012 12:35:00;650.025;1.992
02/04/2012 12:40:00;650.252;2.724
02/04/2012 12:45:00;650.442;2.280
02/04/2012 12:50:00;650.542;1.200
02/04/2012 12:55:00;650.715;2.076
02/04/2012 13:00:00;650.941;2.712
02/04/2012 13:05:00;651.161;2.640
02/04/2012 13:10:00;651.340;2.148
02/04/2012 13:15:00;651.494;1.848
02/04/2012 13:20:00;651.704;2.520
02/04/2012 13:25:00;651.887;2.196
02/04/2012 13:30:00;652.090;2.436
02/04/2012 13:35:00;652.307;2.604
02/04/2012 13:40:00;652.463;1.872
02/04/2012 13:45:00;652.588;1.500
02/04/2012 13:50:00;652.653;0.780
02/04/2012 13:55:00;652.708;0.660
02/04/2012 14:00:00;652.776;0.816
02/04/2012 14:05:00;652.830;0.648
02/04/2012 14:10:00;652.880;0.600
02/04/2012 14:15:00;652.945;0.780
02/04/2012 14:20:00;653.075;1.560
02/04/2012 14:25:00;653.186;1.332
02/04/2012 14:30:00;653.256;0.840
02/04/2012 14:35:00;653.327;0.852
02/04/2012 14:40:00;653.405;0.936
02/04/2012 14:45:00;653.508;1.236
02/04/2012 14:50:00;653.596;1.056
02/04/2012 14:55:00;653.689;1.116
02/04/2012 15:00:00;653.796;1.284
02/04/2012 15:05:00;653.872;0.912
02/04/2012 15:10:00;653.926;0.648
02/04/2012 15:15:00;653.985;0.708
02/04/2012 15:20:00;654.077;1.104
02/04/2012 15:25:00;654.161;1.008
02/04/2012 15:30:00;654.225;0.768
02/04/2012 15:35:00;654.287;0.744
02/04/2012 15:40:00;654.364;0.924
02/04/2012 15:45:00;654.435;0.852
02/04/2012 15:50:00;654.498;0.756
02/04/2012 15:55:00;654.549;0.612
02/04/2012 16:00:00;654.613;0.768
02/04/2012 16:05:00;654.675;0.744
02/04/2012 16:10:00;654.731;0.672
02/04/2012 16:15:00;654.782;0.612
02/04/2012 16:20:00;654.835;0.636
02/04/2012 16:25:00;654.890;0.660
02/04/2012 16:30:00;654.942;0.624
02/04/2012 16:35:00;654.981;0.468
02/04/2012 16:40:00;655.019;0.456
02/04/2012 16:45:00;655.063;0.528
02/04/2012 16:50:00;655.108;0.540
02/04/2012 16:55:00;655.153;0.540
02/04/2012 17:00:00;655.193;0.480
02/04/2012 17:05:00;655.225;0.384
02/04/2012 17:10:00;655.256;0.372
02/04/2012 17:15:00;655.286;0.360
02/04/2012 17:20:00;655.318;0.384
02/04/2012 17:25:00;655.346;0.336
02/04/2012 17:30:00;655.376;0.360
02/04/2012 17:35:00;655.402;0.312
02/04/2012 17:40:00;655.425;0.276
02/04/2012 17:45:00;655.445;0.240
02/04/2012 17:50:00;655.461;0.192
02/04/2012 17:55:00;655.479;0.216
02/04/2012 18:00:00;655.494;0.180
02/04/2012 18:05:00;655.511;0.204
02/04/2012 18:10:00;655.528;0.204
02/04/2012 18:15:00;655.541;0.156
02/04/2012 18:20:00;655.555;0.168
02/04/2012 18:25:00;655.573;0.216
02/04/2012 18:30:00;655.592;0.228
02/04/2012 18:35:00;655.611;0.228
02/04/2012 18:40:00;655.627;0.192
02/04/2012 18:45:00;655.641;0.168
02/04/2012 18:50:00;655.650;0.108
02/04/2012 18:55:00;655.656;0.072
02/04/2012 19:00:00;655.659;0.036
02/04/2012 19:05:00;655.662;0.036
02/04/2012 19:10:00;655.663;0.012
02/04/2012 19:15:00;655.663;0.000
02/04/2012 19:20:00;655.663;0.000
02/04/2012 19:25:00;655.663;0.000
02/04/2012 19:30:00;655.663;0.000
02/04/2012 19:35:00;655.663;0.000
02/04/2012 19:40:00;655.663;0.000
02/04/2012 19:45:00;655.663;0.000
02/04/2012 19:50:00;655.663;0.000
02/04/2012 19:55:00;655.663;0.000
02/04/2012 20:00:00;655.663;0.000
02/04/2012 20:05:00;655.663;0.000
02/04/2012 20:10:00;655.663;0.000
02/04/2012 20:15:00;655.663;0.000
02/04/2012 20:20:00;655.663;0.000
02/04/2012 20:25:00;655.663;0.000
02/04/2012 20:30:00;655.663;0.000
02/04/2012 20:35:00;655.663;0.000
02/04/2012 20:40:00;655.663;0.000
02/04/2012 20:45:00;655.663;0.000
02/04/2012 20:50:00;655.663;0.000
02/04/2012 20:55:00;655.663;0.000
